row,column,layer,node,Reach,Stage,Conductanc,Width,Length,Thickness,K,Flux_gw
46,51,1,0,100,124.837925,0.018768,7.820000,2.000000,0.500000,0.000600,-0.008393
47,51,1,0,100,124.835267,0.028152,7.820000,3.000000,0.500000,0.000600,-0.011813
48,51,1,0,100,124.832472,0.009384,7.820000,1.000000,0.500000,0.000600,-0.003905
48,52,1,0,100,124.829516,0.037536,7.820000,4.000000,0.500000,0.000600,-0.014776
49,52,1,0,100,124.824446,0.028152,7.820000,3.000000,0.500000,0.000600,-0.011108
49,53,1,0,100,124.821639,0.009384,7.820000,1.000000,0.500000,0.000600,-0.003813
50,53,1,0,100,124.818274,0.037536,7.820000,4.000000,0.500000,0.000600,-0.014825
51,53,1,0,100,124.813762,0.018768,7.820000,2.000000,0.500000,0.000600,-0.007811
51,54,1,0,100,124.810955,0.009384,7.820000,1.000000,0.500000,0.000600,-0.004072
52,54,1,0,100,124.807045,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000083
53,54,1,0,100,124.803078,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000021
53,55,1,0,100,124.800271,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000043
54,55,1,0,100,124.795816,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000066
55,55,1,0,100,124.792394,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000022
55,56,1,0,100,124.789586,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000068
56,56,1,0,100,124.784587,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000069
57,56,1,0,100,124.781709,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000023
57,57,1,0,100,124.778902,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000092
58,57,1,0,100,124.773832,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000070
58,58,1,0,100,124.771025,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000023
59,58,1,0,100,124.767743,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000094
60,58,1,0,100,124.763148,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000047
60,59,1,0,100,124.760341,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000024
61,59,1,0,100,124.756514,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000071
62,59,1,0,100,124.752464,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000048
62,60,1,0,100,124.749657,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000048
63,60,1,0,100,124.745285,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000072
64,60,1,0,100,124.741780,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000024
64,61,1,0,100,124.738972,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000072
65,61,1,0,100,124.734056,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000072
66,61,1,0,100,124.731095,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000024
66,62,1,0,100,124.728288,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000095
67,62,1,0,100,124.723218,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000072
67,63,1,0,100,124.720411,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000024
68,63,1,0,100,124.717212,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000072
69,63,1,0,100,124.712534,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000071
69,64,1,0,100,124.709727,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000024
