,value,id_punto,x_sr2,y_sr2
0,148.5,150100080,496618.1929,5040620.517
1,146.1,150100081,496871.3241,5039675.812
2,144.09,150100132,496741.8066,5039658.241
3,134.438,150120152,500259.579,5036407.488
4,135.385,150120155,500186.6,5036741.342
5,111.154,150930123,508969.607,5031354.856
6,109.612,151030234,502198.765,5025776.52
7,114.599,151461494,508444.552,5033477.036
8,116.522,151462481,507657.913,5034220.315
9,157.145,151540061,497569.746,5044646.914
10,142.245,151790125,499365.631,5039393.868
11,144.222,151820350,503016.452,5040467.672
12,160.741,151940024,492082.554,5046042.105
13,133.27,152040030,497953.867,5034800.459
14,137.504,152040123,498128.188,5036618.682
15,110.01,152470182,505965.493,5027127.819
17,129.79,MW,502285.02,5035498.78
18,128.77,MWH,502568.36,5035247.39
19,150.412,PZ1A,500643.834,5042820.189
20,150.11,PZ1B,500646.352,5042821.189
21,139.36,Pz1,498772.59,5037865.53
22,137.29,Pz2,499438.71,5037209.55
23,169.401,Pz23e,497578.425,5049159.246
24,129.59,Pz3,501856.73,5035250.44
25,126.14,Pz4,502268.22,5034086.07
26,125.78,PzCavaLagoCapanna,501171.005,5033454.333
27,125.411,PzNuovo,501958.581,5033595.005
28,123.686,PzScannaMung,497830.258,5031645.748
29,128.479,S1,502743.537,5035093.446
