value,id_punto,x_sr2,y_sr2
135.438,150120152,500259.579,5036407.488
136.535,150120155,500186.6,5036741.342
110.132,151030234,502198.765,5025776.52
144.515,151790125,499365.631,5039393.868
144.772,151820350,503016.452,5040467.672
163.541,151940024,492082.554,5046042.105
138.494,152040123,498128.188,5036618.682
110.06,152470182,505965.493,5027127.819
129.39,MW,502285.02,5035498.78
129.12,MWH,502568.36,5035247.39
141.385,Pz1,498772.59,5037865.53
139.03,Pz2,499438.71,5037209.55
171.821,Pz23e,497578.425,5049159.246
130.175,Pz3,501856.73,5035250.44
126.60499999999999,Pz4,502268.22,5034086.07
126.04,PzCavaLagoCapanna,501171.005,5033454.333
125.661,PzNuovo,501958.581,5033595.005
128.429,S1,502743.537,5035093.446
