63  Cells
Layer,Row,Column  Count
   1,21,175   1
   1,22,175   1
   1,23,172   1
   1,36,78   1
   1,38,177   1
   1,38,184   1
   1,38,188   1
   1,39,180   1
   1,39,190   1
   1,40,176   1
   1,40,180   1
   1,40,192   1
   1,41,108   1
   1,41,176   1
   1,41,179   1
   1,42,84   1
   1,42,170   2
   1,42,174   1
   1,43,174   1
   1,44,172   1
   1,45,191   1
   1,46,184   1
   1,47,176   1
   1,51,187   1
   1,55,178   1
   1,55,180   1
   1,57,189   1
   1,59,181   1
   1,60,172   1
   1,61,191   1
   1,66,191   1
   1,67,168   1
   1,72,183   1
   1,74,114   1
   1,75,189   1
   1,77,185   1
   1,79,193   1
   1,82,166   1
   1,95,187   1
   1,97,195   1
   1,100,179   1
   1,100,193   1
   1,101,186   1
   1,110,194   1
   1,111,191   1
   1,114,41   1
   1,115,42   1
   1,119,48   1
   1,119,183   1
   1,120,179   1
   1,128,40   1
   1,128,194   1
   1,129,54   1
   1,131,173   1
   1,142,191   1
   1,149,41   1
   1,149,162   1
   1,152,42   1
   1,156,194   1
   1,158,43   1
   1,164,177   1
   1,229,161   1
   1,311,42   1
(1,42,170) has highest count = 2
