model,kt,ka,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M626,1e-05,1e-06,-0.5,0.03,0.013062,0.09762,nSEG,2,GNSS,0.005937999999999999,0.10238000000000001,0.31252631578947365,0.5119,0.41221315789473684
M627,1e-05,1e-06,-0.5,0.035,0.013037,0.105,nSEG,2,GNSS,0.0059629999999999996,0.09500000000000001,0.31384210526315787,0.47500000000000003,0.39442105263157895
M628,1e-05,1e-06,-0.5,0.04,0.013013,0.1119,nSEG,2,GNSS,0.005986999999999999,0.08810000000000001,0.3151052631578947,0.44050000000000006,0.3778026315789474
M629,1e-05,1e-06,-0.5,0.05,0.012966,0.1246,nSEG,2,GNSS,0.006033999999999999,0.07540000000000001,0.317578947368421,0.377,0.3472894736842105
M630,1e-05,1e-06,-0.5,0.08,0.012839,0.157,nSEG,2,GNSS,0.006161,0.04300000000000001,0.32426315789473686,0.21500000000000005,0.26963157894736844
M631,1e-05,1e-06,-0.25,0.03,0.013083,0.0888,nSEG,2,GNSS,0.005917,0.11120000000000001,0.311421052631579,0.556,0.43371052631578955
M632,1e-05,1e-06,-0.25,0.035,0.013059,0.0954,nSEG,2,GNSS,0.005941,0.10460000000000001,0.3126842105263158,0.523,0.4178421052631579
M633,1e-05,1e-06,-0.25,0.04,0.013039,0.1016,nSEG,2,GNSS,0.005960999999999999,0.09840000000000002,0.31373684210526315,0.49200000000000005,0.4028684210526316
M634,1e-05,1e-06,-0.25,0.05,0.012999,0.1129,nSEG,2,GNSS,0.006000999999999999,0.08710000000000001,0.31584210526315787,0.43550000000000005,0.37567105263157896
M635,1e-05,1e-06,-0.25,0.08,0.012888,0.1419,nSEG,2,GNSS,0.006111999999999999,0.05810000000000001,0.32168421052631574,0.29050000000000004,0.3060921052631579
M636,1e-05,1e-06,0.0,0.03,0.013092,0.08313,nSEG,2,GNSS,0.005908,0.11687000000000002,0.31094736842105264,0.58435,0.44764868421052634
M637,1e-05,1e-06,0.0,0.035,0.013071,0.08919,nSEG,2,GNSS,0.005929,0.11081,0.3120526315789474,0.55405,0.43305131578947376
M638,1e-05,1e-06,0.0,0.04,0.01305,0.09491,nSEG,2,GNSS,0.005949999999999999,0.10509000000000002,0.313157894736842,0.5254500000000001,0.419303947368421
M639,1e-05,1e-06,0.0,0.05,0.013015,0.1054,nSEG,2,GNSS,0.005984999999999999,0.09460000000000002,0.31499999999999995,0.4730000000000001,0.394
