model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M1,1e-05,1e-06,-0.5,-0.5,0.03,0.0037185,0.02005,2SEG,1,GNSS,0.0152815,0.17995,0.8042894736842106,0.8997499999999999,0.8520197368421052
M2,1e-05,1e-06,-0.5,-0.5,0.035,0.0037155,0.02198,2SEG,1,GNSS,0.0152845,0.17802,0.8044473684210526,0.8901,0.8472736842105263
M3,1e-05,1e-06,-0.5,-0.5,0.04,0.0037126,0.02381,2SEG,1,GNSS,0.0152874,0.17619,0.8046,0.88095,0.842775
M4,1e-05,1e-06,-0.5,-0.5,0.05,0.0037073,0.02719,2SEG,1,GNSS,0.0152927,0.17281000000000002,0.804878947368421,0.8640500000000001,0.8344644736842106
M5,1e-05,1e-06,-0.5,-0.5,0.08,0.0036936,0.03597,2SEG,1,GNSS,0.0153064,0.16403,0.8056,0.82015,0.812875
M6,1e-05,1e-06,-0.5,-0.25,0.03,0.0037199,0.01776,2SEG,1,GNSS,0.0152801,0.18224,0.8042157894736842,0.9112,0.8577078947368422
M7,1e-05,1e-06,-0.5,-0.25,0.035,0.003717,0.01947,2SEG,1,GNSS,0.015283,0.18053000000000002,0.8043684210526316,0.9026500000000001,0.8535092105263158
M8,1e-05,1e-06,-0.5,-0.25,0.04,0.0037142,0.02109,2SEG,1,GNSS,0.015285799999999999,0.17891,0.8045157894736842,0.8945500000000001,0.8495328947368421
M9,1e-05,1e-06,-0.5,-0.25,0.05,0.0037092,0.02409,2SEG,1,GNSS,0.0152908,0.17591,0.804778947368421,0.87955,0.8421644736842105
M10,1e-05,1e-06,-0.5,-0.25,0.08,0.003696,0.03186,2SEG,1,GNSS,0.015304,0.16814,0.8054736842105263,0.8407,0.8230868421052632
M11,1e-05,1e-06,-0.5,0.0,0.03,0.0037207,0.01629,2SEG,1,GNSS,0.015279299999999999,0.18371,0.8041736842105263,0.91855,0.8613618421052631
M12,1e-05,1e-06,-0.5,0.0,0.035,0.0037179,0.01786,2SEG,1,GNSS,0.0152821,0.18214000000000002,0.8043210526315789,0.9107000000000001,0.8575105263157895
M13,1e-05,1e-06,-0.5,0.0,0.04,0.0037153,0.01934,2SEG,1,GNSS,0.0152847,0.18066000000000002,0.8044578947368421,0.9033,0.8538789473684211
M14,1e-05,1e-06,-0.5,0.0,0.05,0.0037103,0.0221,2SEG,1,GNSS,0.0152897,0.1779,0.804721052631579,0.8895,0.8471105263157894
M15,1e-05,1e-06,-0.5,0.0,0.08,0.0036976,0.02924,2SEG,1,GNSS,0.015302399999999999,0.17076000000000002,0.8053894736842105,0.8538000000000001,0.8295947368421053
M16,1e-05,1e-06,-0.5,0.25,0.03,0.0037214,0.01524,2SEG,1,GNSS,0.0152786,0.18476,0.8041368421052631,0.9238,0.8639684210526315
M17,1e-05,1e-06,-0.5,0.25,0.035,0.0037186,0.01671,2SEG,1,GNSS,0.0152814,0.18329,0.8042842105263158,0.91645,0.8603671052631578
M18,1e-05,1e-06,-0.5,0.25,0.04,0.003716,0.01809,2SEG,1,GNSS,0.015283999999999999,0.18191000000000002,0.8044210526315789,0.9095500000000001,0.8569855263157895
M19,1e-05,1e-06,-0.5,0.25,0.05,0.0037112,0.02067,2SEG,1,GNSS,0.0152888,0.17933000000000002,0.8046736842105263,0.8966500000000001,0.8506618421052632
M20,1e-05,1e-06,-0.5,0.25,0.08,0.0036987,0.02735,2SEG,1,GNSS,0.0153013,0.17265000000000003,0.8053315789473685,0.8632500000000001,0.8342907894736843
M21,1e-05,1e-06,-0.5,0.5,0.03,0.0037218,0.01443,2SEG,1,GNSS,0.015278199999999999,0.18557,0.8041157894736841,0.9278500000000001,0.8659828947368421
M22,1e-05,1e-06,-0.5,0.5,0.035,0.0037191,0.01582,2SEG,1,GNSS,0.0152809,0.18418,0.8042578947368422,0.9209,0.8625789473684211
M23,1e-05,1e-06,-0.5,0.5,0.04,0.0037166,0.01713,2SEG,1,GNSS,0.015283399999999999,0.18287,0.8043894736842105,0.91435,0.8593697368421053
M24,1e-05,1e-06,-0.5,0.5,0.05,0.0037118,0.01957,2SEG,1,GNSS,0.0152882,0.18043,0.8046421052631579,0.90215,0.8533960526315789
M25,1e-05,1e-06,-0.5,0.5,0.08,0.0036996,0.0259,2SEG,1,GNSS,0.015300399999999999,0.1741,0.8052842105263157,0.8704999999999999,0.8378921052631578
M26,1e-05,1e-06,-0.25,-0.5,0.03,0.0037207,0.02006,2SEG,1,GNSS,0.015279299999999999,0.17994000000000002,0.8041736842105263,0.8997,0.8519368421052631
M27,1e-05,1e-06,-0.25,-0.5,0.035,0.0037179,0.02199,2SEG,1,GNSS,0.0152821,0.17801,0.8043210526315789,0.89005,0.8471855263157895
M28,1e-05,1e-06,-0.25,-0.5,0.04,0.0037153,0.02382,2SEG,1,GNSS,0.0152847,0.17618,0.8044578947368421,0.8809,0.8426789473684211
M29,1e-05,1e-06,-0.25,-0.5,0.05,0.0037103,0.02721,2SEG,1,GNSS,0.0152897,0.17279,0.804721052631579,0.86395,0.8343355263157894
M30,1e-05,1e-06,-0.25,-0.5,0.08,0.0036975,0.036,2SEG,1,GNSS,0.0153025,0.164,0.8053947368421053,0.82,0.8126973684210526
M31,1e-05,1e-06,-0.25,-0.25,0.03,0.0037221,0.01776,2SEG,1,GNSS,0.0152779,0.18224,0.8041,0.9112,0.85765
M32,1e-05,1e-06,-0.25,-0.25,0.035,0.0037194,0.01948,2SEG,1,GNSS,0.0152806,0.18052,0.8042421052631579,0.9026000000000001,0.853421052631579
M33,1e-05,1e-06,-0.25,-0.25,0.04,0.0037169,0.02109,2SEG,1,GNSS,0.015283099999999999,0.17891,0.8043736842105262,0.8945500000000001,0.8494618421052631
M34,1e-05,1e-06,-0.25,-0.25,0.05,0.0037122,0.0241,2SEG,1,GNSS,0.015287799999999999,0.1759,0.8046210526315789,0.8795,0.8420605263157894
M35,1e-05,1e-06,-0.25,-0.25,0.08,0.0037,0.03189,2SEG,1,GNSS,0.0153,0.16811,0.8052631578947368,0.84055,0.8229065789473684
M36,1e-05,1e-06,-0.25,0.0,0.03,0.0037229,0.0163,2SEG,1,GNSS,0.0152771,0.1837,0.8040578947368421,0.9185,0.861278947368421
M37,1e-05,1e-06,-0.25,0.0,0.035,0.0037203,0.01787,2SEG,1,GNSS,0.0152797,0.18213000000000001,0.8041947368421053,0.9106500000000001,0.8574223684210527
M38,1e-05,1e-06,-0.25,0.0,0.04,0.0037179,0.01935,2SEG,1,GNSS,0.0152821,0.18065,0.8043210526315789,0.90325,0.8537855263157894
M39,1e-05,1e-06,-0.25,0.0,0.05,0.0037133,0.02211,2SEG,1,GNSS,0.0152867,0.17789000000000002,0.8045631578947369,0.8894500000000001,0.8470065789473684
M40,1e-05,1e-06,-0.25,0.0,0.08,0.0037015,0.02926,2SEG,1,GNSS,0.0152985,0.17074,0.8051842105263158,0.8537,0.829442105263158
M41,1e-05,1e-06,-0.25,0.25,0.03,0.0037236,0.01524,2SEG,1,GNSS,0.015276399999999999,0.18476,0.804021052631579,0.9238,0.8639105263157895
M42,1e-05,1e-06,-0.25,0.25,0.035,0.003721,0.01671,2SEG,1,GNSS,0.015279,0.18329,0.8041578947368421,0.91645,0.8603039473684211
M43,1e-05,1e-06,-0.25,0.25,0.04,0.0037186,0.0181,2SEG,1,GNSS,0.0152814,0.1819,0.8042842105263158,0.9095,0.856892105263158
M44,1e-05,1e-06,-0.25,0.25,0.05,0.0037142,0.02068,2SEG,1,GNSS,0.015285799999999999,0.17932,0.8045157894736842,0.8966,0.8505578947368421
M45,1e-05,1e-06,-0.25,0.25,0.08,0.0037027,0.02737,2SEG,1,GNSS,0.0152973,0.17263,0.805121052631579,0.86315,0.8341355263157895
M46,1e-05,1e-06,-0.25,0.5,0.03,0.003724,0.01443,2SEG,1,GNSS,0.015276,0.18557,0.804,0.9278500000000001,0.8659250000000001
M47,1e-05,1e-06,-0.25,0.5,0.035,0.0037216,0.01583,2SEG,1,GNSS,0.0152784,0.18417,0.8041263157894737,0.92085,0.8624881578947368
M48,1e-05,1e-06,-0.25,0.5,0.04,0.0037192,0.01714,2SEG,1,GNSS,0.015280799999999999,0.18286000000000002,0.8042526315789473,0.9143000000000001,0.8592763157894737
M49,1e-05,1e-06,-0.25,0.5,0.05,0.0037148,0.01958,2SEG,1,GNSS,0.015285199999999999,0.18042000000000002,0.8044842105263157,0.9021000000000001,0.8532921052631579
M50,1e-05,1e-06,-0.25,0.5,0.08,0.0037035,0.02591,2SEG,1,GNSS,0.0152965,0.17409000000000002,0.805078947368421,0.8704500000000001,0.8377644736842105
M51,1e-05,1e-06,0.0,-0.5,0.03,0.0037221,0.02006,2SEG,1,GNSS,0.0152779,0.17994000000000002,0.8041,0.8997,0.8519000000000001
M52,1e-05,1e-06,0.0,-0.5,0.035,0.0037195,0.022,2SEG,1,GNSS,0.015280499999999999,0.17800000000000002,0.8042368421052631,0.89,0.8471184210526316
M53,1e-05,1e-06,0.0,-0.5,0.04,0.0037169,0.02382,2SEG,1,GNSS,0.015283099999999999,0.17618,0.8043736842105262,0.8809,0.8426368421052631
M54,1e-05,1e-06,0.0,-0.5,0.05,0.0037122,0.02722,2SEG,1,GNSS,0.015287799999999999,0.17278000000000002,0.8046210526315789,0.8639,0.8342605263157894
M55,1e-05,1e-06,0.0,-0.5,0.08,0.0037001,0.03601,2SEG,1,GNSS,0.0152999,0.16399000000000002,0.8052578947368422,0.8199500000000001,0.8126039473684211
M56,1e-05,1e-06,0.0,-0.25,0.03,0.0037235,0.01777,2SEG,1,GNSS,0.0152765,0.18223,0.8040263157894737,0.91115,0.8575881578947369
M57,1e-05,1e-06,0.0,-0.25,0.035,0.0037209,0.01948,2SEG,1,GNSS,0.0152791,0.18052,0.8041631578947369,0.9026000000000001,0.8533815789473684
M58,1e-05,1e-06,0.0,-0.25,0.04,0.0037186,0.0211,2SEG,1,GNSS,0.0152814,0.1789,0.8042842105263158,0.8945,0.8493921052631579
M59,1e-05,1e-06,0.0,-0.25,0.05,0.0037141,0.02411,2SEG,1,GNSS,0.0152859,0.17589000000000002,0.8045210526315789,0.8794500000000001,0.8419855263157895
M60,1e-05,1e-06,0.0,-0.25,0.08,0.0037025,0.0319,2SEG,1,GNSS,0.015297499999999999,0.16810000000000003,0.8051315789473684,0.8405000000000001,0.8228157894736843
M61,1e-05,1e-06,0.0,0.0,0.03,0.0037244,0.0163,2SEG,1,GNSS,0.0152756,0.1837,0.8039789473684211,0.9185,0.8612394736842106
M62,1e-05,1e-06,0.0,0.0,0.035,0.0037219,0.01787,2SEG,1,GNSS,0.0152781,0.18213000000000001,0.8041105263157895,0.9106500000000001,0.8573802631578948
M63,1e-05,1e-06,0.0,0.0,0.04,0.0037196,0.01936,2SEG,1,GNSS,0.0152804,0.18064000000000002,0.8042315789473684,0.9032000000000001,0.8537157894736842
M64,1e-05,1e-06,0.0,0.0,0.05,0.0037153,0.02212,2SEG,1,GNSS,0.0152847,0.17788,0.8044578947368421,0.8894,0.8469289473684211
M65,1e-05,1e-06,0.0,0.0,0.08,0.0037041,0.02927,2SEG,1,GNSS,0.0152959,0.17073000000000002,0.8050473684210526,0.85365,0.8293486842105263
M66,1e-05,1e-06,0.0,0.25,0.03,0.003725,0.01525,2SEG,1,GNSS,0.015275,0.18475000000000003,0.8039473684210526,0.9237500000000001,0.8638486842105264
M67,1e-05,1e-06,0.0,0.25,0.035,0.0037226,0.01672,2SEG,1,GNSS,0.0152774,0.18328,0.8040736842105264,0.9164,0.8602368421052632
M68,1e-05,1e-06,0.0,0.25,0.04,0.0037203,0.01811,2SEG,1,GNSS,0.0152797,0.18189,0.8041947368421053,0.90945,0.8568223684210526
M69,1e-05,1e-06,0.0,0.25,0.05,0.0037161,0.02069,2SEG,1,GNSS,0.0152839,0.17931000000000002,0.8044157894736842,0.8965500000000001,0.8504828947368421
M70,1e-05,1e-06,0.0,0.25,0.08,0.0037052,0.02738,2SEG,1,GNSS,0.015294799999999999,0.17262,0.8049894736842105,0.8631,0.8340447368421052
M71,1e-05,1e-06,0.0,0.5,0.03,0.0037255,0.01444,2SEG,1,GNSS,0.0152745,0.18556,0.803921052631579,0.9278,0.8658605263157895
M72,1e-05,1e-06,0.0,0.5,0.035,0.0037231,0.01583,2SEG,1,GNSS,0.0152769,0.18417,0.8040473684210526,0.92085,0.8624486842105263
M73,1e-05,1e-06,0.0,0.5,0.04,0.0037209,0.01714,2SEG,1,GNSS,0.0152791,0.18286000000000002,0.8041631578947369,0.9143000000000001,0.8592315789473686
M74,1e-05,1e-06,0.0,0.5,0.05,0.0037168,0.01959,2SEG,1,GNSS,0.0152832,0.18041000000000001,0.8043789473684211,0.90205,0.8532144736842106
M75,1e-05,1e-06,0.0,0.5,0.08,0.0037061,0.02592,2SEG,1,GNSS,0.0152939,0.17408,0.8049421052631579,0.8704000000000001,0.8376710526315789
M76,1e-05,1e-06,0.25,-0.5,0.03,0.0037231,0.02007,2SEG,1,GNSS,0.0152769,0.17993,0.8040473684210526,0.89965,0.8518486842105263
M77,1e-05,1e-06,0.25,-0.5,0.035,0.0037206,0.022,2SEG,1,GNSS,0.015279399999999999,0.17800000000000002,0.804178947368421,0.89,0.8470894736842105
M78,1e-05,1e-06,0.25,-0.5,0.04,0.0037181,0.02383,2SEG,1,GNSS,0.0152819,0.17617000000000002,0.8043105263157895,0.88085,0.8425802631578947
M79,1e-05,1e-06,0.25,-0.5,0.05,0.0037136,0.02722,2SEG,1,GNSS,0.015286399999999999,0.17278000000000002,0.8045473684210526,0.8639,0.8342236842105263
M80,1e-05,1e-06,0.25,-0.5,0.08,0.0037019,0.03602,2SEG,1,GNSS,0.015298099999999999,0.16398000000000001,0.8051631578947368,0.8199000000000001,0.8125315789473684
M81,1e-05,1e-06,0.25,-0.25,0.03,0.0037245,0.01777,2SEG,1,GNSS,0.0152755,0.18223,0.8039736842105263,0.91115,0.8575618421052631
M82,1e-05,1e-06,0.25,-0.25,0.035,0.0037221,0.01949,2SEG,1,GNSS,0.0152779,0.18051,0.8041,0.90255,0.853325
M83,1e-05,1e-06,0.25,-0.25,0.04,0.0037198,0.0211,2SEG,1,GNSS,0.015280199999999999,0.1789,0.804221052631579,0.8945,0.8493605263157895
M84,1e-05,1e-06,0.25,-0.25,0.05,0.0037155,0.02411,2SEG,1,GNSS,0.0152845,0.17589000000000002,0.8044473684210526,0.8794500000000001,0.8419486842105264
M85,1e-05,1e-06,0.25,-0.25,0.08,0.0037043,0.03191,2SEG,1,GNSS,0.015295699999999999,0.16809000000000002,0.8050368421052632,0.84045,0.8227434210526317
