model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M3126,1e-05,1e-06,-0.5,-0.5,0.03,0.0035343,0.01945,2SEG,1,LIDAR,0.015465699999999999,0.18055000000000002,0.8139842105263158,0.90275,0.8583671052631578
M3127,1e-05,1e-06,-0.5,-0.5,0.035,0.0035313,0.02132,2SEG,1,LIDAR,0.0154687,0.17868,0.8141421052631579,0.8934,0.8537710526315789
M3128,1e-05,1e-06,-0.5,-0.5,0.04,0.0035285,0.02309,2SEG,1,LIDAR,0.0154715,0.17691,0.8142894736842105,0.8845500000000001,0.8494197368421053
M3129,1e-05,1e-06,-0.5,-0.5,0.05,0.0035234,0.02638,2SEG,1,LIDAR,0.0154766,0.17362,0.8145578947368421,0.8681,0.8413289473684211
M3130,1e-05,1e-06,-0.5,-0.5,0.08,0.00351,0.03489,2SEG,1,LIDAR,0.01549,0.16511,0.8152631578947369,0.82555,0.8204065789473685
M3131,1e-05,1e-06,-0.5,-0.25,0.03,0.0035356,0.01723,2SEG,1,LIDAR,0.0154644,0.18277000000000002,0.8139157894736843,0.91385,0.8638828947368422
M3132,1e-05,1e-06,-0.5,-0.25,0.035,0.0035328,0.01889,2SEG,1,LIDAR,0.0154672,0.18111000000000002,0.8140631578947369,0.9055500000000001,0.8598065789473686
M3133,1e-05,1e-06,-0.5,-0.25,0.04,0.0035301,0.02045,2SEG,1,LIDAR,0.0154699,0.17955000000000002,0.8142052631578948,0.89775,0.8559776315789474
M3134,1e-05,1e-06,-0.5,-0.25,0.05,0.0035252,0.02336,2SEG,1,LIDAR,0.0154748,0.17664000000000002,0.8144631578947369,0.8832000000000001,0.8488315789473685
M3135,1e-05,1e-06,-0.5,-0.25,0.08,0.0035124,0.03091,2SEG,1,LIDAR,0.015487599999999999,0.16909000000000002,0.8151368421052632,0.84545,0.8302934210526316
M3136,1e-05,1e-06,-0.5,0.0,0.03,0.0035364,0.0158,2SEG,1,LIDAR,0.0154636,0.1842,0.8138736842105263,0.9209999999999999,0.8674368421052632
M3137,1e-05,1e-06,-0.5,0.0,0.035,0.0035337,0.01733,2SEG,1,LIDAR,0.015466299999999999,0.18267,0.8140157894736841,0.91335,0.863682894736842
M3138,1e-05,1e-06,-0.5,0.0,0.04,0.0035311,0.01876,2SEG,1,LIDAR,0.015468899999999999,0.18124,0.8141526315789474,0.9062,0.8601763157894737
M3139,1e-05,1e-06,-0.5,0.0,0.05,0.0035263,0.02144,2SEG,1,LIDAR,0.0154737,0.17856,0.8144052631578947,0.8927999999999999,0.8536026315789473
M3140,1e-05,1e-06,-0.5,0.0,0.08,0.0035139,0.02836,2SEG,1,LIDAR,0.0154861,0.17164000000000001,0.8150578947368421,0.8582000000000001,0.8366289473684211
M3141,1e-05,1e-06,-0.5,0.25,0.03,0.003537,0.01478,2SEG,1,LIDAR,0.015463,0.18522000000000002,0.8138421052631579,0.9261,0.8699710526315789
M3142,1e-05,1e-06,-0.5,0.25,0.035,0.0035344,0.01621,2SEG,1,LIDAR,0.0154656,0.18379,0.813978947368421,0.91895,0.8664644736842105
M3143,1e-05,1e-06,-0.5,0.25,0.04,0.0035318,0.01755,2SEG,1,LIDAR,0.0154682,0.18245,0.8141157894736842,0.91225,0.8631828947368421
M3144,1e-05,1e-06,-0.5,0.25,0.05,0.0035271,0.02005,2SEG,1,LIDAR,0.0154729,0.17995,0.8143631578947368,0.8997499999999999,0.8570565789473683
M3145,1e-05,1e-06,-0.5,0.25,0.08,0.003515,0.02653,2SEG,1,LIDAR,0.015484999999999999,0.17347,0.815,0.8673500000000001,0.841175
M3146,1e-05,1e-06,-0.5,0.5,0.03,0.0035375,0.014,2SEG,1,LIDAR,0.0154625,0.186,0.8138157894736843,0.9299999999999999,0.8719078947368422
M3147,1e-05,1e-06,-0.5,0.5,0.035,0.0035349,0.01535,2SEG,1,LIDAR,0.015465099999999999,0.18465,0.8139526315789474,0.92325,0.8686013157894736
M3148,1e-05,1e-06,-0.5,0.5,0.04,0.0035324,0.01662,2SEG,1,LIDAR,0.0154676,0.18338000000000002,0.8140842105263157,0.9169,0.8654921052631579
M3149,1e-05,1e-06,-0.5,0.5,0.05,0.0035278,0.01899,2SEG,1,LIDAR,0.015472199999999998,0.18101,0.8143263157894737,0.90505,0.8596881578947368
M3150,1e-05,1e-06,-0.5,0.5,0.08,0.0035158,0.02512,2SEG,1,LIDAR,0.0154842,0.17488,0.8149578947368421,0.8744,0.8446789473684211
M3151,1e-05,1e-06,-0.25,-0.5,0.03,0.0035364,0.01946,2SEG,1,LIDAR,0.0154636,0.18054,0.8138736842105263,0.9027,0.8582868421052632
M3152,1e-05,1e-06,-0.25,-0.5,0.035,0.0035337,0.02133,2SEG,1,LIDAR,0.015466299999999999,0.17867000000000002,0.8140157894736841,0.8933500000000001,0.8536828947368421
M3153,1e-05,1e-06,-0.25,-0.5,0.04,0.0035311,0.0231,2SEG,1,LIDAR,0.015468899999999999,0.1769,0.8141526315789474,0.8845,0.8493263157894737
M3154,1e-05,1e-06,-0.25,-0.5,0.05,0.0035263,0.02639,2SEG,1,LIDAR,0.0154737,0.17361000000000001,0.8144052631578947,0.86805,0.8412276315789473
M3155,1e-05,1e-06,-0.25,-0.5,0.08,0.0035139,0.03491,2SEG,1,LIDAR,0.0154861,0.16509000000000001,0.8150578947368421,0.82545,0.820253947368421
M3156,1e-05,1e-06,-0.25,-0.25,0.03,0.0035377,0.01723,2SEG,1,LIDAR,0.0154623,0.18277000000000002,0.8138052631578948,0.91385,0.8638276315789475
M3157,1e-05,1e-06,-0.25,-0.25,0.035,0.0035351,0.01889,2SEG,1,LIDAR,0.0154649,0.18111000000000002,0.8139421052631579,0.9055500000000001,0.859746052631579
M3158,1e-05,1e-06,-0.25,-0.25,0.04,0.0035327,0.02046,2SEG,1,LIDAR,0.0154673,0.17954,0.8140684210526316,0.8976999999999999,0.8558842105263158
M3159,1e-05,1e-06,-0.25,-0.25,0.05,0.0035281,0.02337,2SEG,1,LIDAR,0.0154719,0.17663,0.8143105263157895,0.88315,0.8487302631578948
M3160,1e-05,1e-06,-0.25,-0.25,0.08,0.0035162,0.03093,2SEG,1,LIDAR,0.015483799999999999,0.16907,0.8149368421052631,0.8453499999999999,0.8301434210526315
M3161,1e-05,1e-06,-0.25,0.0,0.03,0.0035386,0.01581,2SEG,1,LIDAR,0.0154614,0.18419000000000002,0.8137578947368421,0.92095,0.8673539473684211
M3162,1e-05,1e-06,-0.25,0.0,0.035,0.0035361,0.01733,2SEG,1,LIDAR,0.0154639,0.18267,0.8138894736842105,0.91335,0.8636197368421052
M3163,1e-05,1e-06,-0.25,0.0,0.04,0.0035337,0.01877,2SEG,1,LIDAR,0.015466299999999999,0.18123,0.8140157894736841,0.90615,0.8600828947368421
M3164,1e-05,1e-06,-0.25,0.0,0.05,0.0035292,0.02145,2SEG,1,LIDAR,0.0154708,0.17855000000000001,0.8142526315789473,0.89275,0.8535013157894737
M3165,1e-05,1e-06,-0.25,0.0,0.08,0.0035177,0.02838,2SEG,1,LIDAR,0.0154823,0.17162000000000002,0.8148578947368421,0.8581000000000001,0.8364789473684211
M3166,1e-05,1e-06,-0.25,0.25,0.03,0.0035392,0.01479,2SEG,1,LIDAR,0.0154608,0.18521,0.8137263157894737,0.92605,0.8698881578947368
M3167,1e-05,1e-06,-0.25,0.25,0.035,0.0035367,0.01621,2SEG,1,LIDAR,0.0154633,0.18379,0.8138578947368421,0.91895,0.8664039473684211
M3168,1e-05,1e-06,-0.25,0.25,0.04,0.0035344,0.01756,2SEG,1,LIDAR,0.0154656,0.18244000000000002,0.813978947368421,0.9122,0.8630894736842105
M3169,1e-05,1e-06,-0.25,0.25,0.05,0.0035301,0.02006,2SEG,1,LIDAR,0.0154699,0.17994000000000002,0.8142052631578948,0.8997,0.8569526315789474
M3170,1e-05,1e-06,-0.25,0.25,0.08,0.0035188,0.02654,2SEG,1,LIDAR,0.0154812,0.17346,0.8148000000000001,0.8673,0.8410500000000001
M3171,1e-05,1e-06,-0.25,0.5,0.03,0.0035397,0.014,2SEG,1,LIDAR,0.0154603,0.186,0.8137,0.9299999999999999,0.87185
M3172,1e-05,1e-06,-0.25,0.5,0.035,0.0035372,0.01535,2SEG,1,LIDAR,0.015462799999999999,0.18465,0.8138315789473684,0.92325,0.8685407894736842
M3173,1e-05,1e-06,-0.25,0.5,0.04,0.003535,0.01663,2SEG,1,LIDAR,0.015465,0.18337,0.8139473684210526,0.9168499999999999,0.8653986842105263
M3174,1e-05,1e-06,-0.25,0.5,0.05,0.0035307,0.01899,2SEG,1,LIDAR,0.0154693,0.18101,0.8141736842105264,0.90505,0.8596118421052632
M3175,1e-05,1e-06,-0.25,0.5,0.08,0.0035197,0.02514,2SEG,1,LIDAR,0.015480299999999999,0.17486000000000002,0.8147526315789473,0.8743000000000001,0.8445263157894737
M3176,1e-05,1e-06,0.0,-0.5,0.03,0.0035378,0.01946,2SEG,1,LIDAR,0.015462199999999999,0.18054,0.8138,0.9027,0.85825
M3177,1e-05,1e-06,0.0,-0.5,0.035,0.0035352,0.02134,2SEG,1,LIDAR,0.015464799999999999,0.17866,0.8139368421052632,0.8933,0.8536184210526316
M3178,1e-05,1e-06,0.0,-0.5,0.04,0.0035327,0.02311,2SEG,1,LIDAR,0.0154673,0.17689000000000002,0.8140684210526316,0.8844500000000001,0.8492592105263158
M3179,1e-05,1e-06,0.0,-0.5,0.05,0.0035282,0.0264,2SEG,1,LIDAR,0.015471799999999999,0.1736,0.8143052631578948,0.868,0.8411526315789474
M3180,1e-05,1e-06,0.0,-0.5,0.08,0.0035163,0.03493,2SEG,1,LIDAR,0.0154837,0.16507,0.8149315789473685,0.8253499999999999,0.8201407894736842
M3181,1e-05,1e-06,0.0,-0.25,0.03,0.0035391,0.01724,2SEG,1,LIDAR,0.0154609,0.18276,0.8137315789473685,0.9138,0.8637657894736842
M3182,1e-05,1e-06,0.0,-0.25,0.035,0.0035366,0.0189,2SEG,1,LIDAR,0.015463399999999999,0.1811,0.8138631578947368,0.9055,0.8596815789473684
M3183,1e-05,1e-06,0.0,-0.25,0.04,0.0035343,0.02047,2SEG,1,LIDAR,0.015465699999999999,0.17953000000000002,0.8139842105263158,0.8976500000000001,0.8558171052631579
M3184,1e-05,1e-06,0.0,-0.25,0.05,0.00353,0.02338,2SEG,1,LIDAR,0.01547,0.17662,0.8142105263157895,0.8831,0.8486552631578947
M3185,1e-05,1e-06,0.0,-0.25,0.08,0.0035187,0.03094,2SEG,1,LIDAR,0.0154813,0.16906000000000002,0.8148052631578947,0.8453,0.8300526315789474
M3186,1e-05,1e-06,0.0,0.0,0.03,0.00354,0.01581,2SEG,1,LIDAR,0.01546,0.18419000000000002,0.8136842105263158,0.92095,0.8673171052631579
M3187,1e-05,1e-06,0.0,0.0,0.035,0.0035376,0.01734,2SEG,1,LIDAR,0.0154624,0.18266000000000002,0.8138105263157894,0.9133,0.8635552631578947
