model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M3126,1e-05,1e-06,-0.5,-0.5,0.02,0.0040702,0.02532,nSEG,1,LIDAR,0.0149298,0.17468,0.785778947368421,0.8734,0.8295894736842104
M3127,1e-05,1e-06,-0.5,-0.5,0.03,0.0040622,0.03226,nSEG,1,LIDAR,0.0149378,0.16774,0.7862,0.8387,0.81245
M3128,1e-05,1e-06,-0.5,-0.5,0.035,0.0040587,0.03537,nSEG,1,LIDAR,0.0149413,0.16463,0.7863842105263158,0.8231499999999999,0.8047671052631579
M3129,1e-05,1e-06,-0.5,-0.5,0.04,0.0040553,0.0383,nSEG,1,LIDAR,0.014944699999999998,0.1617,0.7865631578947367,0.8085,0.7975315789473684
M3130,1e-05,1e-06,-0.5,-0.5,0.05,0.004049,0.04375,nSEG,1,LIDAR,0.014950999999999999,0.15625,0.7868947368421052,0.78125,0.7840723684210527
M3131,1e-05,1e-06,-0.5,-0.25,0.02,0.0040719,0.02243,nSEG,1,LIDAR,0.0149281,0.17757,0.7856894736842105,0.88785,0.8367697368421052
M3132,1e-05,1e-06,-0.5,-0.25,0.03,0.0040644,0.02858,nSEG,1,LIDAR,0.0149356,0.17142000000000002,0.7860842105263158,0.8571000000000001,0.821592105263158
M3133,1e-05,1e-06,-0.5,-0.25,0.035,0.0040611,0.03133,nSEG,1,LIDAR,0.0149389,0.16867000000000001,0.7862578947368422,0.84335,0.8148039473684211
M3134,1e-05,1e-06,-0.5,-0.25,0.04,0.0040579,0.03393,nSEG,1,LIDAR,0.0149421,0.16607,0.7864263157894736,0.8303499999999999,0.8083881578947367
M3135,1e-05,1e-06,-0.5,-0.25,0.05,0.004052,0.03875,nSEG,1,LIDAR,0.014948,0.16125,0.7867368421052632,0.80625,0.7964934210526315
M3136,1e-05,1e-06,-0.5,0.0,0.02,0.004073,0.02058,nSEG,1,LIDAR,0.014927,0.17942000000000002,0.7856315789473685,0.8971000000000001,0.8413657894736843
M3137,1e-05,1e-06,-0.5,0.0,0.03,0.0040658,0.02622,nSEG,1,LIDAR,0.0149342,0.17378000000000002,0.7860105263157895,0.8689,0.8274552631578947
M3138,1e-05,1e-06,-0.5,0.0,0.035,0.0040626,0.02874,nSEG,1,LIDAR,0.0149374,0.17126000000000002,0.7861789473684211,0.8563000000000001,0.8212394736842106
M3139,1e-05,1e-06,-0.5,0.0,0.04,0.0040595,0.03113,nSEG,1,LIDAR,0.014940499999999999,0.16887000000000002,0.7863421052631578,0.84435,0.815346052631579
M3140,1e-05,1e-06,-0.5,0.0,0.05,0.0040539,0.03556,nSEG,1,LIDAR,0.0149461,0.16444,0.7866368421052632,0.8221999999999999,0.8044184210526315
M3141,1e-05,1e-06,-0.5,0.25,0.02,0.0040738,0.01925,nSEG,1,LIDAR,0.0149262,0.18075000000000002,0.7855894736842106,0.90375,0.8446697368421053
M3142,1e-05,1e-06,-0.5,0.25,0.03,0.0040668,0.02452,nSEG,1,LIDAR,0.0149332,0.17548000000000002,0.7859578947368422,0.8774000000000001,0.8316789473684212
M3143,1e-05,1e-06,-0.5,0.25,0.035,0.0040637,0.02689,nSEG,1,LIDAR,0.0149363,0.17311,0.7861210526315789,0.86555,0.8258355263157895
M3144,1e-05,1e-06,-0.5,0.25,0.04,0.0040607,0.02912,nSEG,1,LIDAR,0.014939299999999999,0.17088,0.7862789473684211,0.8543999999999999,0.8203394736842105
M3145,1e-05,1e-06,-0.5,0.25,0.05,0.0040552,0.03326,nSEG,1,LIDAR,0.0149448,0.16674,0.7865684210526316,0.8337,0.8101342105263158
M3146,1e-05,1e-06,-0.5,0.5,0.02,0.0040744,0.01823,nSEG,1,LIDAR,0.0149256,0.18177000000000001,0.7855578947368421,0.90885,0.8472039473684211
M3147,1e-05,1e-06,-0.5,0.5,0.03,0.0040676,0.02322,nSEG,1,LIDAR,0.014932399999999998,0.17678000000000002,0.7859157894736841,0.8839,0.834907894736842
M3148,1e-05,1e-06,-0.5,0.5,0.035,0.0040645,0.02546,nSEG,1,LIDAR,0.014935499999999999,0.17454,0.786078947368421,0.8726999999999999,0.8293894736842105
M3149,1e-05,1e-06,-0.5,0.5,0.04,0.0040616,0.02757,nSEG,1,LIDAR,0.0149384,0.17243,0.7862315789473684,0.86215,0.8241907894736842
M3150,1e-05,1e-06,-0.5,0.5,0.05,0.0040562,0.0315,nSEG,1,LIDAR,0.0149438,0.1685,0.7865157894736843,0.8425,0.8145078947368422
M3151,1e-05,1e-06,-0.25,-0.5,0.02,0.0040718,0.02533,nSEG,1,LIDAR,0.014928199999999999,0.17467000000000002,0.7856947368421052,0.8733500000000001,0.8295223684210526
M3152,1e-05,1e-06,-0.25,-0.5,0.03,0.0040643,0.03227,nSEG,1,LIDAR,0.0149357,0.16773000000000002,0.7860894736842106,0.83865,0.8123697368421052
M3153,1e-05,1e-06,-0.25,-0.5,0.035,0.0040609,0.03538,nSEG,1,LIDAR,0.0149391,0.16462000000000002,0.7862684210526316,0.8231,0.8046842105263159
M3154,1e-05,1e-06,-0.25,-0.5,0.04,0.0040577,0.03831,nSEG,1,LIDAR,0.014942299999999999,0.16169,0.7864368421052631,0.80845,0.7974434210526316
