,r,c,M1
0,45,50,-0.0014459336
1,46,50,-0.0021368621
2,47,50,-0.0007106504
3,47,51,-0.002813027
4,48,51,-0.002103761
5,48,52,-0.0007042934
6,49,52,-0.002790372
7,50,52,-0.0014006251
8,50,53,-0.0007023992
9,51,53,-0.00011713277
10,52,53,-3.122448e-05
11,52,54,-5.4668613e-05
12,53,54,-8.573056e-05
13,54,54,-3.1105483e-05
14,54,55,-8.540311e-05
15,55,55,-8.526526e-05
16,56,55,-3.0875628e-05
17,56,56,-0.000115704126
18,57,56,-8.468305e-05
19,57,57,-3.0781062e-05
20,58,57,-0.00011485464
21,59,57,-5.3483058e-05
22,59,58,-3.0542687e-05
23,60,58,-8.355723e-05
24,61,58,-5.3043896e-05
25,61,59,-5.2930573e-05
26,62,59,-8.295324e-05
27,63,59,-3.0007875e-05
28,63,60,-8.24388e-05
29,64,60,-8.220945e-05
30,65,60,-2.9734874e-05
31,65,61,-0.00011138089
32,66,61,-8.145037e-05
33,66,62,-2.9594143e-05
34,67,62,-8.091733e-05
35,68,62,-8.0571925e-05
36,68,63,-2.927281e-05
37,69,63,-8.0139755e-05
38,70,63,-5.0777628e-05
39,70,64,-5.072501e-05
40,71,64,-7.934926e-05
41,72,64,-2.8727713e-05
42,72,65,-7.8906174e-05
43,73,65,-7.8546465e-05
44,74,65,-2.843532e-05
45,74,66,-7.799002e-05
46,75,66,-7.773892e-05
47,75,67,-2.824037e-05
48,76,67,-7.7177865e-05
49,77,67,-7.692501e-05
50,77,68,-2.7943935e-05
51,78,68,-7.647185e-05
52,79,68,-4.8434453e-05
53,79,69,-4.8377926e-05
54,80,69,-7.565045e-05
55,81,69,-2.7338396e-05
56,81,70,-4.7780642e-05
57,82,70,-0.0001020201
58,83,70,-2.7035898e-05
59,83,71,-7.424885e-05
60,84,71,-7.3988725e-05
61,84,72,-2.6874957e-05
62,85,72,-7.341757e-05
63,86,72,-7.315772e-05
64,86,73,-2.6572216e-05
65,87,73,-7.25847e-05
66,88,73,-4.5958175e-05
67,88,74,-2.6228989e-05
68,89,74,-9.7834745e-05
69,90,74,-2.5958521e-05
70,90,75,-4.5367397e-05
71,91,75,-2.570868e-05
72,92,75,-2.541245e-05
73,92,76,-4.4267097e-05
74,93,76,-9.373206e-05
75,94,76,-2.4701922e-05
76,94,77,-6.749652e-05
77,95,77,-6.6680426e-05
78,95,78,-2.413575e-05
79,96,78,-6.554896e-05
80,97,78,-4.119585e-05
81,97,79,-4.0925013e-05
82,98,79,-6.348914e-05
83,99,79,-2.2832211e-05
84,99,80,-3.968169e-05
