model,package,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M1,LAK+SFR,1.00E-05,1.00E-06,,-0.5,0.03,0.012942,0.06492,nSEG,1,GNSS,0.006058,0.13508,0.318842105,0.6754,0.497121053
M2,LAK+SFR,1.00E-05,1.00E-06,,-0.5,0.035,0.012917,0.07114,nSEG,1,GNSS,0.006083,0.12886,0.320157895,0.6443,0.482228947
M3,LAK+SFR,1.00E-05,1.00E-06,,-0.5,0.04,0.012893,0.07699,nSEG,1,GNSS,0.006107,0.12301,0.321421053,0.61505,0.468235526
M4,LAK+SFR,1.00E-05,1.00E-06,,-0.5,0.05,0.012846,0.08784,nSEG,1,GNSS,0.006154,0.11216,0.323894737,0.5608,0.442347368
M5,LAK+SFR,1.00E-05,1.00E-06,,-0.5,0.08,0.012719,0.1159,nSEG,1,GNSS,0.006281,0.0841,0.330578947,0.4205,0.375539474
M6,LAK+SFR,1.00E-05,1.00E-06,,-0.25,0.03,0.012963,0.05748,nSEG,1,GNSS,0.006037,0.14252,0.317736842,0.7126,0.515168421
M7,LAK+SFR,1.00E-05,1.00E-06,,-0.25,0.035,0.012939,0.06304,nSEG,1,GNSS,0.006061,0.13696,0.319,0.6848,0.5019
M8,LAK+SFR,1.00E-05,1.00E-06,,-0.25,0.04,0.012918,0.06825,nSEG,1,GNSS,0.006082,0.13175,0.320105263,0.65875,0.489427632
M9,LAK+SFR,1.00E-05,1.00E-06,,-0.25,0.05,0.012879,0.07789,nSEG,1,GNSS,0.006121,0.12211,0.322157895,0.61055,0.466353947
M10,LAK+SFR,1.00E-05,1.00E-06,,-0.25,0.08,0.012768,0.1028,nSEG,1,GNSS,0.006232,0.0972,0.328,0.486,0.407
M11,LAK+SFR,1.00E-05,1.00E-06,,0,0.03,0.012972,0.05272,nSEG,1,GNSS,0.006028,0.14728,0.317263158,0.7364,0.526831579
M12,LAK+SFR,1.00E-05,1.00E-06,,0,0.035,0.012951,0.05781,nSEG,1,GNSS,0.006049,0.14219,0.318368421,0.71095,0.514659211
M13,LAK+SFR,1.00E-05,1.00E-06,,0,0.04,0.01293,0.06262,nSEG,1,GNSS,0.00607,0.13738,0.319473684,0.6869,0.503186842
M14,LAK+SFR,1.00E-05,1.00E-06,,0,0.05,0.012895,0.0715,nSEG,1,GNSS,0.006105,0.1285,0.321315789,0.6425,0.481907895
M15,LAK+SFR,1.00E-05,1.00E-06,,0,0.08,0.012796,0.09439,nSEG,1,GNSS,0.006204,0.10561,0.326526316,0.52805,0.427288158
M16,LAK+SFR,1.00E-05,1.00E-06,,0.25,0.03,0.012956,0.04945,nSEG,1,GNSS,0.006044,0.15055,0.318105263,0.75275,0.535427632
M17,LAK+SFR,1.00E-05,1.00E-06,,0.25,0.035,0.012957,0.05405,nSEG,1,GNSS,0.006043,0.14595,0.318052632,0.72975,0.523901316
M18,LAK+SFR,1.00E-05,1.00E-06,,0.25,0.04,0.012937,0.05855,nSEG,1,GNSS,0.006063,0.14145,0.319105263,0.70725,0.513177632
M19,LAK+SFR,1.00E-05,1.00E-06,,0.25,0.05,0.012903,0.06689,nSEG,1,GNSS,0.006097,0.13311,0.320894737,0.66555,0.493222368
M20,LAK+SFR,1.00E-05,1.00E-06,,0.25,0.08,0.012813,0.08833,nSEG,1,GNSS,0.006187,0.11167,0.325631579,0.55835,0.441990789
M21,LAK+SFR,1.00E-05,1.00E-06,,0.5,0.03,0.012983,0.04662,nSEG,1,GNSS,0.006017,0.15338,0.316684211,0.7669,0.541792105
M22,LAK+SFR,1.00E-05,1.00E-06,,0.5,0.035,0.012929,0.05141,nSEG,1,GNSS,0.006071,0.14859,0.319526316,0.74295,0.531238158
M23,LAK+SFR,1.00E-05,1.00E-06,,0.5,0.04,0.012941,0.05541,nSEG,1,GNSS,0.006059,0.14459,0.318894737,0.72295,0.520922368
M24,LAK+SFR,1.00E-05,1.00E-06,,0.5,0.05,0.012907,0.06333,nSEG,1,GNSS,0.006093,0.13667,0.320684211,0.68335,0.502017105
M25,LAK+SFR,1.00E-05,1.00E-06,,0.5,0.08,0.012824,0.08368,nSEG,1,GNSS,0.006176,0.11632,0.325052632,0.5816,0.453326316
M26,LAK+SFR,1.00E-05,5.50E-06,,-0.5,0.03,0.017453,0.0776,nSEG,1,GNSS,0.001547,0.1224,0.081421053,0.612,0.346710526
M27,LAK+SFR,1.00E-05,5.50E-06,,-0.5,0.035,0.017413,0.08505,nSEG,1,GNSS,0.001587,0.11495,0.083526316,0.57475,0.329138158
M28,LAK+SFR,1.00E-05,5.50E-06,,-0.5,0.04,0.017377,0.09206,nSEG,1,GNSS,0.001623,0.10794,0.085421053,0.5397,0.312560526
M29,LAK+SFR,1.00E-05,5.50E-06,,-0.5,0.05,0.017309,0.1051,nSEG,1,GNSS,0.001691,0.0949,0.089,0.4745,0.28175
M30,LAK+SFR,1.00E-05,5.50E-06,,-0.5,0.08,0.017136,0.1387,nSEG,1,GNSS,0.001864,0.0613,0.098105263,0.3065,0.202302632
M31,LAK+SFR,1.00E-05,5.50E-06,,-0.25,0.03,0.017495,0.06872,nSEG,1,GNSS,0.001505,0.13128,0.079210526,0.6564,0.367805263
M32,LAK+SFR,1.00E-05,5.50E-06,,-0.25,0.035,0.017455,0.07536,nSEG,1,GNSS,0.001545,0.12464,0.081315789,0.6232,0.352257895
M33,LAK+SFR,1.00E-05,5.50E-06,,-0.25,0.04,0.017422,0.0816,nSEG,1,GNSS,0.001578,0.1184,0.083052632,0.592,0.337526316
M34,LAK+SFR,1.00E-05,5.50E-06,,-0.25,0.05,0.017361,0.09315,nSEG,1,GNSS,0.001639,0.10685,0.086263158,0.53425,0.310256579
M35,LAK+SFR,1.00E-05,5.50E-06,,-0.25,0.08,0.017205,0.123,nSEG,1,GNSS,0.001795,0.077,0.094473684,0.385,0.239736842
M36,LAK+SFR,1.00E-05,5.50E-06,,0,0.03,0.017518,0.06304,nSEG,1,GNSS,0.001482,0.13696,0.078,0.6848,0.3814
M37,LAK+SFR,1.00E-05,5.50E-06,,0,0.035,0.017482,0.06912,nSEG,1,GNSS,0.001518,0.13088,0.079894737,0.6544,0.367147368
M38,LAK+SFR,1.00E-05,5.50E-06,,0,0.04,0.017448,0.07488,nSEG,1,GNSS,0.001552,0.12512,0.081684211,0.6256,0.353642105
M39,LAK+SFR,1.00E-05,5.50E-06,,0,0.05,0.017391,0.08551,nSEG,1,GNSS,0.001609,0.11449,0.084684211,0.57245,0.328567105
M40,LAK+SFR,1.00E-05,5.50E-06,,0,0.08,0.017247,0.1129,nSEG,1,GNSS,0.001753,0.0871,0.092263158,0.4355,0.263881579
M41,LAK+SFR,1.00E-05,5.50E-06,,0.25,0.03,0.017512,0.05908,nSEG,1,GNSS,0.001488,0.14092,0.078315789,0.7046,0.391457895
M42,LAK+SFR,1.00E-05,5.50E-06,,0.25,0.035,0.017499,0.06464,nSEG,1,GNSS,0.001501,0.13536,0.079,0.6768,0.3779
M43,LAK+SFR,1.00E-05,5.50E-06,,0.25,0.04,0.017467,0.07001,nSEG,1,GNSS,0.001533,0.12999,0.080684211,0.64995,0.365317105
M44,LAK+SFR,1.00E-05,5.50E-06,,0.25,0.05,0.01741,0.07999,nSEG,1,GNSS,0.00159,0.12001,0.083684211,0.60005,0.341867105
M45,LAK+SFR,1.00E-05,5.50E-06,,0.25,0.08,0.017275,0.1057,nSEG,1,GNSS,0.001725,0.0943,0.090789474,0.4715,0.281144737
M46,LAK+SFR,1.00E-05,5.50E-06,,0.5,0.03,0.01755,0.05576,nSEG,1,GNSS,0.00145,0.14424,0.076315789,0.7212,0.398757895
M47,LAK+SFR,1.00E-05,5.50E-06,,0.5,0.035,0.017478,0.06141,nSEG,1,GNSS,0.001522,0.13859,0.080105263,0.69295,0.386527632
M48,LAK+SFR,1.00E-05,5.50E-06,,0.5,0.04,0.01748,0.06627,nSEG,1,GNSS,0.00152,0.13373,0.08,0.66865,0.374325
M49,LAK+SFR,1.00E-05,5.50E-06,,0.5,0.05,0.017423,0.07574,nSEG,1,GNSS,0.001577,0.12426,0.083,0.6213,0.35215
M50,LAK+SFR,1.00E-05,5.50E-06,,0.5,0.08,0.017295,0.1001,nSEG,1,GNSS,0.001705,0.0999,0.089736842,0.4995,0.294618421
M51,LAK+SFR,1.00E-05,1.00E-05,,-0.5,0.03,0.021566,0.08806,nSEG,1,GNSS,-0.002566,0.11194,0.135052632,0.5597,0.347376316
M52,LAK+SFR,1.00E-05,1.00E-05,,-0.5,0.035,0.021512,0.09651,nSEG,1,GNSS,-0.002512,0.10349,0.132210526,0.51745,0.324830263
M53,LAK+SFR,1.00E-05,1.00E-05,,-0.5,0.04,0.021462,0.1045,nSEG,1,GNSS,-0.002462,0.0955,0.129578947,0.4775,0.303539474
M54,LAK+SFR,1.00E-05,1.00E-05,,-0.5,0.05,0.021373,0.1192,nSEG,1,GNSS,-0.002373,0.0808,0.124894737,0.404,0.264447368
M55,LAK+SFR,1.00E-05,1.00E-05,,-0.5,0.08,0.021153,0.1574,nSEG,1,GNSS,-0.002153,0.0426,0.113315789,0.213,0.163157895
M56,LAK+SFR,1.00E-05,1.00E-05,,-0.25,0.03,0.021628,0.07798,nSEG,1,GNSS,-0.002628,0.12202,0.138315789,0.6101,0.374207895
M57,LAK+SFR,1.00E-05,1.00E-05,,-0.25,0.035,0.021574,0.08552,nSEG,1,GNSS,-0.002574,0.11448,0.135473684,0.5724,0.353936842
M58,LAK+SFR,1.00E-05,1.00E-05,,-0.25,0.04,0.021527,0.0926,nSEG,1,GNSS,-0.002527,0.1074,0.133,0.537,0.335
M59,LAK+SFR,1.00E-05,1.00E-05,,-0.25,0.05,0.021445,0.1057,nSEG,1,GNSS,-0.002445,0.0943,0.128684211,0.4715,0.300092105
M60,LAK+SFR,1.00E-05,1.00E-05,,-0.25,0.08,0.021244,0.1396,nSEG,1,GNSS,-0.002244,0.0604,0.118105263,0.302,0.210052632
M61,LAK+SFR,1.00E-05,1.00E-05,,0,0.03,0.021665,0.07155,nSEG,1,GNSS,-0.002665,0.12845,0.140263158,0.64225,0.391256579
M62,LAK+SFR,1.00E-05,1.00E-05,,0,0.035,0.021615,0.07845,nSEG,1,GNSS,-0.002615,0.12155,0.137631579,0.60775,0.372690789
M63,LAK+SFR,1.00E-05,1.00E-05,,0,0.04,0.021568,0.08497,nSEG,1,GNSS,-0.002568,0.11503,0.135157895,0.57515,0.355153947
M64,LAK+SFR,1.00E-05,1.00E-05,,0,0.05,0.021489,0.09704,nSEG,1,GNSS,-0.002489,0.10296,0.131,0.5148,0.3229
M65,LAK+SFR,1.00E-05,1.00E-05,,0,0.08,0.0213,0.1282,nSEG,1,GNSS,-0.0023,0.0718,0.121052632,0.359,0.240026316
M66,LAK+SFR,1.00E-05,1.00E-05,,0.25,0.03,0.021668,0.06703,nSEG,1,GNSS,-0.002668,0.13297,0.140421053,0.66485,0.402635526
M67,LAK+SFR,1.00E-05,1.00E-05,,0.25,0.035,0.021642,0.07337,nSEG,1,GNSS,-0.002642,0.12663,0.139052632,0.63315,0.386101316
M68,LAK+SFR,1.00E-05,1.00E-05,,0.25,0.04,0.021597,0.07946,nSEG,1,GNSS,-0.002597,0.12054,0.136684211,0.6027,0.369692105
